EnstID	Gene	MIS	LOF	Silent	Total
ENST00000341421	TRAK1	64	9	26	108
ENST00000262613	SLC9A3R1	15	2	7	26
ENST00000324896	GTF2I	44	4	14	68
ENST00000580974	PITPNC1	14	2	3	20
ENST00000349215	HPS5	71	9	23	109
ENST00000505618	RHOH	31	1	13	45
ENST00000456145	C11orf21	15	0	4	19
ENST00000224073	EDF1	10	2	3	15
ENST00000160298	KIAA1543	91	8	60	161
NM_016521.2	TFDP3	48	3	21	73
ENST00000220764	DECR1	40	4	15	65
ENST00000220763	PGCP	76	3	17	96
ENST00000248668	LRFN1	66	0	34	102
ENST00000296161	DTX3L	58	4	27	90
ENST00000397753	ZBTB44	18	1	2	21
ENST00000246548	UBA2	59	4	21	87
ENST00000246549	FFAR2	41	4	23	70
ENST00000543632	MYO3A	65	4	28	99
ENST00000441003	MUC2	443	66	245	769
ENST00000314330	C9orf139	22	2	4	28
ENST00000308650	ZNF699	71	7	18	97
ENST00000435070	CPSF6	120	10	24	160
ENST00000411995	ZNF643	41	1	11	53
ENST00000380860	SLC30A5	2	0	0	2
ENST00000380861	WWC3	0	0	1	1
ENST00000380863	SLC2A13	63	4	21	89
ENST00000426086	VEGFB	7	0	0	7
ENST00000264515	RBBP5	47	9	16	77
ENST00000438782	CCDC36	35	5	9	50
ENST00000326282	EID2B	11	1	16	28
ENST00000399302	QSER1	137	36	47	225
ENST00000399300	RBM12B	107	16	40	164
ENST00000335934	TP53I3	18	5	10	33
ENST00000502346	TMEM167A	9	0	2	12
ENST00000241014	MAPK8IP1	59	4	19	87
ENST00000296871	CSF2	10	1	1	12
ENST00000456144	TIAM2	40	0	14	55
ENST00000492918	RBP1	8	0	2	12
ENST00000421852	TMEM41A	18	2	1	22
ENST00000437508	TRIM2	58	5	26	91
ENST00000231790	MLH1	141	56	45	275
ENST00000225844	CCL13	17	2	9	28
ENST00000306549	PCDHB1	177	11	73	261
ENST00000225842	CCL1	8	0	1	10
ENST00000307635	ZNF556	88	8	31	132
ENST00000307637	C3AR1	66	9	22	97
ENST00000307630	YWHAG	21	1	14	36
ENST00000307632	OR52K1	82	3	25	110
ENST00000283290	ATG3	23	0	7	30
ENST00000309295	EHBP1L1	71	8	31	113
ENST00000551116	DDIT3	10	0	2	12
ENST00000330148	FA87B	0	0	1	1
ENST00000330149	TRAPPC6B	10	2	1	16
ENST00000340465	GFRAL	122	8	35	171
ENST00000340460	CCDC29	11	2	2	18
ENST00000374343	TMEM57	72	15	26	114
ENST00000330143	ZNF696	19	2	32	53
ENST00000532485	ACER3	17	4	6	28
ENST00000371191	NFIA	34	1	9	44
ENST00000371192	ZNF518A	75	27	22	126
XM_379730.2	LOC401621	0	0	1	1
XM_499174.1	LOC441485	0	0	1	1
ENST00000371197	GLYATL3	25	1	4	31
ENST00000371198	CC2D2B	1	1	0	2
ENST00000275988	SPIN2B	8	2	6	16
ENST00000396212	CCP110	61	6	31	98
ENST00000392779	B3GALNT1	41	3	11	55
NM_024657.2	MORC4	73	15	15	110
