Ensembl Gene ID	Ensembl Transcript ID	RefSeq mRNA [e.g. NM_001195597]
ENSG00000149311	ENST00000278616	NM_000051
ENSG00000139618	ENST00000544455	NM_000059
ENSG00000182197	ENST00000378204	NM_000127
ENSG00000187741	ENST00000389301	NM_000135
ENSG00000066468	ENST00000358487	NM_000141
ENSG00000170820	ENST00000406846	NM_000145
ENSG00000116062	ENST00000234420	NM_000179
ENSG00000105976	ENST00000397752	NM_000245
ENSG00000076242	ENST00000231790	NM_000249
ENSG00000095002	ENST00000233146	NM_000251
ENSG00000197535	ENST00000399231	NM_000259
ENSG00000185920	ENST00000331920	NM_000264
ENSG00000196712	ENST00000356175	NM_000267
ENSG00000171862	ENST00000371953	NM_000314
ENSG00000139687	ENST00000267163	NM_000321
ENSG00000084674	ENST00000233242	NM_000384
ENSG00000151348	ENST00000395673	NM_000401
ENSG00000118046	ENST00000326873	NM_000455
ENSG00000104313	ENST00000340726	NM_000503
ENSG00000087460	ENST00000371085	NM_000516
ENSG00000064933	ENST00000441310	NM_000534
ENSG00000103197	ENST00000219476	NM_000548
ENSG00000165392	ENST00000298139	NM_000553
ENSG00000203710	ENST00000400960	NM_000573
ENSG00000203710	ENST00000367049	NM_000651
ENSG00000163399	ENST00000295598	NM_000701
ENSG00000157388	ENST00000288139	NM_000720
ENSG00000022355	ENST00000023897	NM_000806
ENSG00000145864	ENST00000353437	NM_000813
ENSG00000166206	ENST00000311550	NM_000814
ENSG00000183454	ENST00000396573	NM_000833
ENSG00000131759	ENST00000254066	NM_000964
ENSG00000072694	ENST00000236937	NM_001002273
ENSG00000072694	ENST00000236937	NM_001002274
ENSG00000072694	ENST00000358671	NM_001002275
ENSG00000175387	ENST00000402690	NM_001003652
ENSG00000187546	ENST00000342526	NM_001004320
ENSG00000181935	ENST00000314634	NM_001004701
ENSG00000150269	ENST00000279791	NM_001004743
ENSG00000262611	ENST00000626711	NM_001005199
ENSG00000181693	ENST00000313022	NM_001005199
ENSG00000181371	ENST00000327216	NM_001005282
ENSG00000111676	ENST00000356654	NM_001007026
ENSG00000205678	ENST00000381210	NM_001010874
ENSG00000278191	ENST00000612826	NM_001014437
ENSG00000110619	ENST00000380525	NM_001014437
ENSG00000080824	ENST00000334701	NM_001017963
ENSG00000144554	ENST00000383807	NM_001018115
ENSG00000131759	ENST00000394081	NM_001024809
ENSG00000144218	ENST00000409579	NM_001025108
ENSG00000073350	ENST00000392550	NM_001031803
ENSG00000196220	ENST00000360413	NM_001033117
ENSG00000188846	ENST00000396203	NM_001034996
ENSG00000130396	ENST00000392108	NM_001040000
ENSG00000276480	ENST00000612165	NM_001040113
ENSG00000133392	ENST00000452625	NM_001040113
ENSG00000276480	ENST00000621545	NM_001040114
ENSG00000133392	ENST00000396324	NM_001040114
ENSG00000243207	ENST00000393796	NM_001040664
ENSG00000164683	ENST00000337919	NM_001040708
ENSG00000196712	ENST00000358273	NM_001042492
ENSG00000140577	ENST00000420329	NM_001042574
ENSG00000101972	ENST00000218089	NM_001042749
ENSG00000101972	ENST00000371145	NM_001042750
ENSG00000101972	ENST00000371144	NM_001042751
ENSG00000142319	ENST00000270349	NM_001044
ENSG00000276996	ENST00000621716	NM_001044
ENSG00000103197	ENST00000401874	NM_001077183
ENSG00000087460	ENST00000354359	NM_001077488
ENSG00000087460	ENST00000265620	NM_001077489
ENSG00000203734	ENST00000541398	NM_001077706
ENSG00000136352	ENST00000354822	NM_001079668
ENSG00000175832	ENST00000319349	NM_001079675
ENSG00000005339	ENST00000382070	NM_001079846
ENSG00000133640	ENST00000393217	NM_001079910
ENSG00000213973	ENST00000596209	NM_001080409
ENSG00000029725	ENST00000341923	NM_001083585
ENSG00000185920	ENST00000437951	NM_001083602
ENSG00000185920	ENST00000375274	NM_001083603
ENSG00000185920	ENST00000421141	NM_001083604
ENSG00000185920	ENST00000421141	NM_001083605
ENSG00000185920	ENST00000429896	NM_001083606
ENSG00000185920	ENST00000418258	NM_001083607
ENSG00000101745	ENST00000400020	NM_001083625
ENSG00000168036	ENST00000396185	NM_001098209
