transcription,GENE,LOF,DMIS,MIS,SYN
NM_130786,A1BG,1.7554734680545018e-06,2.1024891752591557e-06,1.557399389080856e-05,7.954263981453598e-06
NM_001198819,A1CF,3.0166575560892947e-06,2.0731645235843008e-06,1.5356774248772598e-05,6.338697112569263e-06
NM_000014,A2M,4.980059321519527e-06,5.300706627894603e-06,3.9264493539960015e-05,1.709621614841111e-05
NM_144670,A2ML1,6.410418224562788e-06,5.323947552643232e-06,3.9436648538098014e-05,1.755092458117967e-05
NM_017436,A4GALT,1.0786950373406142e-06,2.1445381106069994e-06,1.5885467485977773e-05,8.250874854788077e-06
NM_016161,A4GNT,1.165725504709379e-06,1.2654173027000334e-06,9.373461501481729e-06,3.830010812264483e-06
NM_015665,AAAS,2.976373207531518e-06,2.223482770462169e-06,1.6470242744164213e-05,6.391458891858142e-06
NM_023928,AACS,2.7740981450764555e-06,2.8355268791089348e-06,2.100390280821433e-05,1.0959733655238054e-05
NM_001086,AADAC,1.4673541539673543e-06,1.3722516716248315e-06,1.0164827197220973e-05,4.234479161692077e-06
NM_207365,AADACL2,1.867863607467383e-06,1.3210941471093155e-06,9.785882571180115e-06,3.67282300498085e-06
NM_001103170,AADACL3,1.1234004709202788e-06,1.3792207059304059e-06,1.0216449673558562e-05,4.436086439314327e-06
NM_001013630,AADACL4,1.3754150292063942e-06,1.7204171710801026e-06,1.2743830896889649e-05,5.273512745624402e-06
NM_016228,AADAT,1.7688197681325154e-06,1.4253901997806087e-06,1.0558445924300804e-05,4.137137927273514e-06
NM_153698,AAED1,7.383887630619529e-07,4.564926280896667e-07,3.3814268747382716e-06,1.2773208461131482e-06
NM_024666,AAGAB,1.6117855274486508e-06,1.0037689757751716e-06,7.435325746482752e-06,3.1477483141013175e-06
NM_014911,AAK1,3.1027767771680553e-06,3.057269815250634e-06,2.264644307593062e-05,9.662733460365995e-06
NM_001087,AAMP,1.7464761455981763e-06,1.754016879829613e-06,1.2992717628367504e-05,6.418004244839187e-06
NM_001166579,AANAT,7.446337538033894e-07,1.1382398034049421e-06,8.431405951147719e-06,4.0411037451349e-06
NM_001605,AARS,4.731683533992344e-06,4.067558132651265e-06,3.013006024186122e-05,1.3034668782410134e-05
NM_020745,AARS2,4.977426516000481e-06,4.699306465637409e-06,3.4809677523240065e-05,1.3867558288718896e-05
NM_001136042,AARSD1,2.3452463995191104e-06,2.168871233010323e-06,1.6065712837113504e-05,6.359163628244043e-06
NM_181806,AASDH,4.188038506894034e-06,3.434264720725228e-06,2.5438997931297984e-05,1.0742367360154322e-05
NM_015423,AASDHPPT,1.4719334086369992e-06,1.2712582035839512e-06,9.416727433955194e-06,3.4127148323868674e-06
NM_005763,AASS,3.688140441267993e-06,3.3245568859657434e-06,2.462634730344995e-05,9.52138223021403e-06
NM_012138,AATF,2.6254459414226864e-06,2.027373514030705e-06,1.5017581585412628e-05,6.798294904549553e-06
NM_001080395,AATK,3.529616507493022e-06,4.525158217799194e-06,3.351969050221625e-05,2.075391338957486e-05
NM_000663,ABAT,2.345158458323835e-06,2.3266645268973674e-06,1.723455205109161e-05,8.245177320439842e-06
NM_005502,ABCA1,9.974443249980888e-06,8.467082053617465e-06,6.271912632309233e-05,2.6478903691179085e-05
NM_080282,ABCA10,6.85337213543584e-06,4.888028939715084e-06,3.620762177566729e-05,1.3775266196051709e-05
NM_173076,ABCA12,1.1536075046730074e-05,8.770690148473729e-06,6.496807517387947e-05,2.7682161625745892e-05
NM_152701,ABCA13,1.6012730412963743e-05,1.593065998893104e-05,0.0001180048888068966,4.896660566104022e-05
NM_001606,ABCA2,9.187083711123088e-06,1.2771260648413834e-05,9.460193072899137e-05,4.893279240819376e-05
NM_001089,ABCA3,6.621726468339732e-06,8.486600693576172e-06,6.286370884130497e-05,3.259867889044687e-05
NM_000350,ABCA4,1.0151739199578679e-05,9.224307423484185e-06,6.832820313691988e-05,3.0359876459875076e-05
NM_018672,ABCA5,7.326088439600418e-06,5.0307619616963896e-06,3.726490341997325e-05,1.3402937734183103e-05
NM_080284,ABCA6,6.664474032483198e-06,5.15031472277242e-06,3.815047942794385e-05,1.5275660582380732e-05
NM_019112,ABCA7,8.750905553777142e-06,1.0953017170581561e-05,8.113346052282637e-05,3.986575560405784e-05
NM_007168,ABCA8,6.813479867819778e-06,5.363320725904698e-06,3.9728301673368126e-05,1.741004926352608e-05
NM_080283,ABCA9,7.454002419091108e-06,5.3448284258302415e-06,3.95913216728166e-05,1.6664795935998332e-05
NM_000927,ABCB1,5.645191761325532e-06,4.596568838208742e-06,3.40486580608055e-05,1.255451673687138e-05
NM_012089,ABCB10,2.608352351323519e-06,2.3352520849403893e-06,1.7298163592151032e-05,7.058298158598232e-06
NM_003742,ABCB11,4.466675942387249e-06,4.71991055403647e-06,3.4962300400270145e-05,1.3286175963958024e-05
NM_018849,ABCB4,5.778313997276112e-06,4.669106375393756e-06,3.458597315106485e-05,1.5275660582380732e-05
NM_001163941,ABCB5,5.6715273624202806e-06,4.407920656226416e-06,3.2651264120195674e-05,1.3304544179780901e-05
NM_005689,ABCB6,4.024940719757311e-06,4.184405540780459e-06,3.099559659837377e-05,1.3200792361922549e-05
NM_004299,ABCB7,3.4012392997606916e-06,2.7304471101460477e-06,2.022553414922998e-05,8.415889023429099e-06
NM_007188,ABCB8,3.077346350301249e-06,3.8791249470110765e-06,2.8734258866748715e-05,1.2624087614670494e-05
NM_019625,ABCB9,2.5767005629695473e-06,3.5639677746289917e-06,2.6399761293548085e-05,1.3025667861366887e-05
NM_004996,ABCC1,6.551050797685054e-06,7.338947289773473e-06,5.436257251684054e-05,2.7201947619843745e-05
NM_033450,ABCC10,6.0663383136557215e-06,6.384601101401804e-06,4.729334149186521e-05,2.0787391718787116e-05
NM_033151,ABCC11,5.705851877689702e-06,5.610916019203112e-06,4.1562340882986016e-05,1.8655203891005977e-05
NM_033226,ABCC12,5.795892758709674e-06,5.4580029805255334e-06,4.042965170759654e-05,1.8205390548111276e-05
NM_000392,ABCC2,6.8034952510279e-06,5.456746373573263e-06,4.0420343507950094e-05,1.690051738043574e-05
NM_003786,ABCC3,6.198279061934784e-06,6.653248864161551e-06,4.9283324919715186e-05,2.215644096312862e-05
NM_005845,ABCC4,5.873425133763545e-06,5.121931529694097e-06,3.794023355328961e-05,1.6803509660515253e-05
NM_005688,ABCC5,6.5472979984836555e-06,5.958456436756436e-06,4.4136714346343965e-05,1.962004503925646e-05
NM_001171,ABCC6,6.191551886996913e-06,6.405215832820325e-06,4.744604320607648e-05,2.252682576575423e-05
NM_000352,ABCC8,6.792854284780264e-06,6.960393110813247e-06,5.1558467487505524e-05,2.4808471080889185e-05
NM_020297,ABCC9,6.914433745567043e-06,5.540306208223719e-06,4.103930524610162e-05,1.6162182261066125e-05
NM_000033,ABCD1,2.4828849687148883e-06,3.3777987332853197e-06,2.5020731357669034e-05,1.1585105685247283e-05
NM_005164,ABCD2,2.8091715403994017e-06,2.5806776967989686e-06,1.9116131087399766e-05,6.910349294049406e-06
NM_002858,ABCD3,4.098884576348649e-06,2.5676378465971185e-06,1.9019539604423097e-05,7.077827926090024e-06
NM_005050,ABCD4,3.053166616629792e-06,2.7298184738419475e-06,2.0220877584014423e-05,9.545528969328622e-06
NM_002940,ABCE1,3.267252266967368e-06,2.0966878015643445e-06,1.5531020752328476e-05,5.681983915599056e-06
NM_001025091,ABCF1,4.498216727348543e-06,3.5919788307283917e-06,2.6607250597988085e-05,1.075474208972789e-05
NM_007189,ABCF2,3.142433492401048e-06,2.5265841566241635e-06,1.8715438197216024e-05,7.473086341912762e-06
NM_018358,ABCF3,3.301115765812968e-06,3.581242819138979e-06,2.652772458621466e-05,1.1447219223784554e-05
NM_207627,ABCG1,2.5468048780523416e-06,3.353773806490684e-06,2.484276893696803e-05,1.2808550945362784e-05
NM_004827,ABCG2,3.260924752613843e-06,2.3288084512818874e-06,1.7250432972458422e-05,7.262731687606843e-06
NM_022169,ABCG4,2.499439138067447e-06,3.0187960182754034e-06,2.236145198722521e-05,1.0727536478355296e-05
NM_022436,ABCG5,2.667018088770758e-06,2.721659360396889e-06,2.016043970664362e-05,8.984625925706859e-06
NM_022437,ABCG8,2.7375183914189026e-06,2.901574784815889e-06,2.149314655419177e-05,1.0556015032159303e-05
NM_032604,ABHD1,1.7976140611816513e-06,1.6566614577455525e-06,1.2271566353670758e-05,5.151100224595073e-06
NM_018394,ABHD10,1.5222416433828957e-06,1.2660001831064296e-06,9.3777791341217e-06,3.7800713730181086e-06
NM_148912,ABHD11,1.5146171590606822e-06,1.7633306989779848e-06,1.3061708881318404e-05,6.093965623401206e-06
NM_001042472,ABHD12,2.0500659217517506e-06,1.498765779391695e-06,1.1101968736234777e-05,5.140436515824264e-06
NM_001206673,ABHD12B,1.34571215704179e-06,9.104031851757374e-07,6.743727297598055e-06,2.492298178052624e-06
NM_032859,ABHD13,1.263735968493201e-06,1.1844964637416172e-06,8.774047879567535e-06,2.8424969018155318e-06
NM_015407,ABHD14A,9.756010070974215e-07,8.993604153016645e-07,6.6619290022345515e-06,2.9362971257566954e-06
NM_032750,ABHD14B,7.536155326650916e-07,8.428179345330722e-07,6.24309581135609e-06,2.8562748772641048e-06
NM_198147,ABHD15,1.756199780954747e-06,2.4565961591234767e-06,1.8197008586099827e-05,8.875646565663145e-06
NM_001177515,ABHD16A,2.904022347085306e-06,2.2142862768580002e-06,1.640212056931852e-05,6.092562597496557e-06
NM_080622,ABHD16B,1.2374497469868557e-06,1.8307699210381207e-06,1.3561258674356448e-05,7.88496917745377e-06
NM_007011,ABHD2,1.7584894718244858e-06,1.920143862615805e-06,1.4223287871228183e-05,6.666532489563035e-06
NM_138340,ABHD3,1.7858137545770556e-06,1.5596737702862052e-06,1.1553139039157076e-05,4.967066792234231e-06
NM_022060,ABHD4,1.841067753446452e-06,1.5759185532644592e-06,1.167347076492192e-05,4.587752705471357e-06
NM_016006,ABHD5,1.9866059951740496e-06,1.2188037127044455e-06,9.028175649662559e-06,3.692325673185328e-06
NM_020676,ABHD6,1.3987354247452357e-06,1.3437973134245622e-06,9.954054173515275e-06,4.248151535146456e-06
